r,K,H,t_year,A,P2025
0,557.478944942956,0.3958333333333333,45,5.29,1.9359865554357305e-6
0,557.478944942956,0.41666666666666663,45,5.29,7.581432298810742e-7
0,557.478944942956,0.4375,45,5.29,2.9689315489399564e-7
0,557.478944942956,0.4583333333333333,45,5.29,1.1626503001598603e-7
0,557.478944942956,0.47916666666666663,45,5.29,4.553003994578407e-8
0,557.478944942956,0.5,45,5.29,1.78298198264744e-8
0,617.6613310447524,0,45,5.29,98.19734992762359
0,617.6613310447524,0.020833333333333332,45,5.29,42.57241148208358
0,617.6613310447524,0.041666666666666664,45,5.29,17.401296355042728
0,617.6613310447524,0.0625,45,5.29,6.933283566289032
0,617.6613310447524,0.08333333333333333,45,5.29,2.7337825718044444
0,617.6613310447524,0.10416666666666666,45,5.29,1.0734552017733223
0,617.6613310447524,0.125,45,5.29,0.4208160467763828
0,617.6613310447524,0.14583333333333331,45,5.29,0.16486226752200075
0,617.6613310447524,0.16666666666666666,45,5.29,0.06457147727234834
0,617.6613310447524,0.1875,45,5.29,0.02528816221787953
0,617.6613310447524,0.20833333333333331,45,5.29,0.009903233290062416
0,617.6613310447524,0.22916666666666666,45,5.29,0.0038781997091704387
0,617.6613310447524,0.25,45,5.29,0.0015187306290596113
0,617.6613310447524,0.2708333333333333,45,5.29,5.947443494507713e-4
0,617.6613310447524,0.29166666666666663,45,5.29,2.329053701200634e-4
0,617.6613310447524,0.3125,45,5.29,9.120707434616714e-5
0,617.6613310447524,0.3333333333333333,45,5.29,3.5717206715474426e-5
0,617.6613310447524,0.35416666666666663,45,5.29,1.3987059611041535e-5
0,617.6613310447524,0.375,45,5.29,5.477411319811087e-6
0,617.6613310447524,0.3958333333333333,45,5.29,2.144985104033906e-6
0,617.6613310447524,0.41666666666666663,45,5.29,8.399882376523265e-7
0,617.6613310447524,0.4375,45,5.29,3.289441204791429e-7
0,617.6613310447524,0.4583333333333333,45,5.29,1.288163684836209e-7
0,617.6613310447524,0.47916666666666663,45,5.29,5.044521471265849e-8
0,617.6613310447524,0.5,45,5.29,1.9754629921377884e-8
0,677.8437171465488,0,45,5.29,107.76529684364846
0,677.8437171465488,0.020833333333333332,45,5.29,46.720492600850704
0,677.8437171465488,0.041666666666666664,45,5.29,19.09680728194433
0,677.8437171465488,0.0625,45,5.29,7.608834272747964
0,677.8437171465488,0.08333333333333333,45,5.29,3.0001511300828265
0,677.8437171465488,0.10416666666666666,45,5.29,1.1780482727153385
0,677.8437171465488,0.125,45,5.29,0.46181863594946626
0,677.8437171465488,0.14583333333333331,45,5.29,0.1809257705113239
0,677.8437171465488,0.16666666666666666,45,5.29,0.07086305710914126
0,677.8437171465488,0.1875,45,5.29,0.027752136998083175
0,677.8437171465488,0.20833333333333331,45,5.29,0.010868163713196701
0,677.8437171465488,0.22916666666666666,45,5.29,0.004256075578269097
0,677.8437171465488,0.25,45,5.29,0.0016667095108654196
0,677.8437171465488,0.2708333333333333,45,5.29,6.526937988844362e-4
0,677.8437171465488,0.29166666666666663,45,5.29,2.5559871387535163e-4
0,677.8437171465488,0.3125,45,5.29,1.0009391748758857e-4
0,677.8437171465488,0.3333333333333333,45,5.29,3.9197344805700144e-5
0,677.8437171465488,0.35416666666666663,45,5.29,1.534990131673276e-5
0,677.8437171465488,0.375,45,5.29,6.0111078073824235e-6
0,677.8437171465488,0.3958333333333333,45,5.29,2.3539836526320816e-6
0,677.8437171465488,0.41666666666666663,45,5.29,9.21833245423579e-7
0,677.8437171465488,0.4375,45,5.29,3.609950860642902e-7
0,677.8437171465488,0.4583333333333333,45,5.29,1.4136770695125576e-7
0,677.8437171465488,0.47916666666666663,45,5.29,5.536038947953291e-8
0,677.8437171465488,0.5,45,5.29,2.167944001628137e-8
0,738.0261032483452,0,45,5.29,117.33324375967332
0,738.0261032483452,0.020833333333333332,45,5.29,50.86857371961782
0,738.0261032483452,0.041666666666666664,45,5.29,20.792318208845927
0,738.0261032483452,0.0625,45,5.29,8.284384979206894
0,738.0261032483452,0.08333333333333333,45,5.29,3.266519688361208
0,738.0261032483452,0.10416666666666666,45,5.29,1.2826413436573545
0,738.0261032483452,0.125,45,5.29,0.5028212251225498
0,738.0261032483452,0.14583333333333331,45,5.29,0.19698927350064704
0,738.0261032483452,0.16666666666666666,45,5.29,0.07715463694593418
0,738.0261032483452,0.1875,45,5.29,0.030216111778286824
0,738.0261032483452,0.20833333333333331,45,5.29,0.011833094136330989
0,738.0261032483452,0.22916666666666666,45,5.29,0.004633951447367755
0,738.0261032483452,0.25,45,5.29,0.0018146883926712278
0,738.0261032483452,0.2708333333333333,45,5.29,7.106432483181011e-4
0,738.0261032483452,0.29166666666666663,45,5.29,2.7829205763063987e-4
0,738.0261032483452,0.3125,45,5.29,1.0898076062900998e-4
0,738.0261032483452,0.3333333333333333,45,5.29,4.2677482895925854e-5
0,738.0261032483452,0.35416666666666663,45,5.29,1.671274302242399e-5
0,738.0261032483452,0.375,45,5.29,6.544804294953761e-6
0,738.0261032483452,0.3958333333333333,45,5.29,2.562982201230257e-6
0,738.0261032483452,0.41666666666666663,45,5.29,1.0036782531948311e-6
0,738.0261032483452,0.4375,45,5.29,3.930460516494375e-7
0,738.0261032483452,0.4583333333333333,45,5.29,1.539190454188906e-7
0,738.0261032483452,0.47916666666666663,45,5.29,6.027556424640733e-8
0,738.0261032483452,0.5,45,5.29,2.3604250111184858e-8
0,798.2084893501416,0,45,5.29,126.90119067569819
0,798.2084893501416,0.020833333333333332,45,5.29,55.016654838384945
0,798.2084893501416,0.041666666666666664,45,5.29,22.48782913574753
0,798.2084893501416,0.0625,45,5.29,8.959935685665826
0,798.2084893501416,0.08333333333333333,45,5.29,3.53288824663959
0,798.2084893501416,0.10416666666666666,45,5.29,1.3872344145993705
0,798.2084893501416,0.125,45,5.29,0.5438238142956332
0,798.2084893501416,0.14583333333333331,45,5.29,0.2130527764899702
0,798.2084893501416,0.16666666666666666,45,5.29,0.0834462167827271
0,798.2084893501416,0.1875,45,5.29,0.03268008655849047
0,798.2084893501416,0.20833333333333331,45,5.29,0.012798024559465276
0,798.2084893501416,0.22916666666666666,45,5.29,0.005011827316466413
0,798.2084893501416,0.25,45,5.29,0.001962667274477036
0,798.2084893501416,0.2708333333333333,45,5.29,7.68592697751766e-4
0,798.2084893501416,0.29166666666666663,45,5.29,3.009854013859281e-4
0,798.2084893501416,0.3125,45,5.29,1.178676037704314e-4
0,798.2084893501416,0.3333333333333333,45,5.29,4.615762098615157e-5
0,798.2084893501416,0.35416666666666663,45,5.29,1.8075584728115217e-5
0,798.2084893501416,0.375,45,5.29,7.0785007825250975e-6
0,798.2084893501416,0.3958333333333333,45,5.29,2.7719807498284324e-6
0,798.2084893501416,0.41666666666666663,45,5.29,1.0855232609660835e-6
0,798.2084893501416,0.4375,45,5.29,4.250970172345847e-7
0,798.2084893501416,0.4583333333333333,45,5.29,1.6647038388652548e-7
0,798.2084893501416,0.47916666666666663,45,5.29,6.519073901328175e-8
0,798.2084893501416,0.5,45,5.29,2.5529060206088343e-8
0,858.390875451938,0,45,5.29,136.46913759172304
0,858.390875451938,0.020833333333333332,45,5.29,59.16473595715206
0,858.390875451938,0.041666666666666664,45,5.29,24.183340062649126
0,858.390875451938,0.0625,45,5.29,9.635486392124758
0,858.390875451938,0.08333333333333333,45,5.29,3.7992568049179716
0,858.390875451938,0.10416666666666666,45,5.29,1.4918274855413867
0,858.390875451938,0.125,45,5.29,0.5848264034687166
0,858.390875451938,0.14583333333333331,45,5.29,0.22911627947929336
0,858.390875451938,0.16666666666666666,45,5.29,0.08973779661952001
0,858.390875451938,0.1875,45,5.29,0.03514406133869412
0,858.390875451938,0.20833333333333331,45,5.29,0.013762954982599562
0,858.390875451938,0.22916666666666666,45,5.29,0.005389703185565071
0,858.390875451938,0.25,45,5.29,0.0021106461562828446
0,858.390875451938,0.2708333333333333,45,5.29,8.265421471854309e-4
0,858.390875451938,0.29166666666666663,45,5.29,3.2367874514121635e-4
0,858.390875451938,0.3125,45,5.29,1.2675444691185282e-4
0,858.390875451938,0.3333333333333333,45,5.29,4.963775907637728e-5
0,858.390875451938,0.35416666666666663,45,5.29,1.943842643380644e-5
0,858.390875451938,0.375,45,5.29,7.612197270096434e-6
0,858.390875451938,0.3958333333333333,45,5.29,2.980979298426608e-6
0,858.390875451938,0.41666666666666663,45,5.29,1.167368268737336e-6
0,858.390875451938,0.4375,45,5.29,4.57147982819732e-7
0,858.390875451938,0.4583333333333333,45,5.29,1.7902172235416033e-7
0,858.390875451938,0.47916666666666663,45,5.29,7.010591378015617e-8
0,858.390875451938,0.5,45,5.29,2.745387030099183e-8
0,918.5732615537344,0,45,5.29,146.03708450774792
0,918.5732615537344,0.020833333333333332,45,5.29,63.31281707591918
0,918.5732615537344,0.041666666666666664,45,5.29,25.878850989550727
0,918.5732615537344,0.0625,45,5.29,10.31103709858369
0,918.5732615537344,0.08333333333333333,45,5.29,4.065625363196354
0,918.5732615537344,0.10416666666666666,45,5.29,1.5964205564834026
0,918.5732615537344,0.125,45,5.29,0.6258289926418001
0,918.5732615537344,0.14583333333333331,45,5.29,0.24517978246861652
0,918.5732615537344,0.16666666666666666,45,5.29,0.09602937645631293
0,918.5732615537344,0.1875,45,5.29,0.037608036118897764
0,918.5732615537344,0.20833333333333331,45,5.29,0.014727885405733849
0,918.5732615537344,0.22916666666666666,45,5.29,0.005767579054663729
0,918.5732615537344,0.25,45,5.29,0.0022586250380886527
0,918.5732615537344,0.2708333333333333,45,5.29,8.844915966190958e-4
0,918.5732615537344,0.29166666666666663,45,5.29,3.4637208889650453e-4
0,918.5732615537344,0.3125,45,5.29,1.3564129005327422e-4
0,918.5732615537344,0.3333333333333333,45,5.29,5.3117897166603e-5
0,918.5732615537344,0.35416666666666663,45,5.29,2.080126813949767e-5
0,918.5732615537344,0.375,45,5.29,8.145893757667771e-6
0,918.5732615537344,0.3958333333333333,45,5.29,3.1899778470247835e-6
0,918.5732615537344,0.41666666666666663,45,5.29,1.2492132765085884e-6
0,918.5732615537344,0.4375,45,5.29,4.891989484048792e-7
0,918.5732615537344,0.4583333333333333,45,5.29,1.915730608217952e-7
0,918.5732615537344,0.47916666666666663,45,5.29,7.502108854703059e-8
0,918.5732615537344,0.5,45,5.29,2.9378680395895317e-8
0,978.7556476555308,0,45,5.29,155.60503142377277
0,978.7556476555308,0.020833333333333332,45,5.29,67.4608981946863
0,978.7556476555308,0.041666666666666664,45,5.29,27.574361916452325
0,978.7556476555308,0.0625,45,5.29,10.986587805042621
0,978.7556476555308,0.08333333333333333,45,5.29,4.331993921474735
0,978.7556476555308,0.10416666666666666,45,5.29,1.7010136274254186
0,978.7556476555308,0.125,45,5.29,0.6668315818148836
0,978.7556476555308,0.14583333333333331,45,5.29,0.2612432854579397
0,978.7556476555308,0.16666666666666666,45,5.29,0.10232095629310584
0,978.7556476555308,0.1875,45,5.29,0.04007201089910141
0,978.7556476555308,0.20833333333333331,45,5.29,0.015692815828868136
0,978.7556476555308,0.22916666666666666,45,5.29,0.006145454923762388
0,978.7556476555308,0.25,45,5.29,0.002406603919894461
0,978.7556476555308,0.2708333333333333,45,5.29,9.424410460527607e-4
0,978.7556476555308,0.29166666666666663,45,5.29,3.690654326517928e-4
0,978.7556476555308,0.3125,45,5.29,1.4452813319469564e-4
0,978.7556476555308,0.3333333333333333,45,5.29,5.6598035256828716e-5
0,978.7556476555308,0.35416666666666663,45,5.29,2.2164109845188897e-5
0,978.7556476555308,0.375,45,5.29,8.679590245239108e-6
0,978.7556476555308,0.3958333333333333,45,5.29,3.398976395622959e-6
0,978.7556476555308,0.41666666666666663,45,5.29,1.3310582842798406e-6
0,978.7556476555308,0.4375,45,5.29,5.212499139900265e-7
0,978.7556476555308,0.4583333333333333,45,5.29,2.0412439928943005e-7
0,978.7556476555308,0.47916666666666663,45,5.29,7.993626331390501e-8
0,978.7556476555308,0.5,45,5.29,3.1303490490798805e-8
0,1038.938033757327,0,45,5.29,165.17297833979762
0,1038.938033757327,0.020833333333333332,45,5.29,71.6089793134534
0,1038.938033757327,0.041666666666666664,45,5.29,29.269872843353923
0,1038.938033757327,0.0625,45,5.29,11.662138511501551
0,1038.938033757327,0.08333333333333333,45,5.29,4.598362479753117
0,1038.938033757327,0.10416666666666666,45,5.29,1.8056066983674346
0,1038.938033757327,0.125,45,5.29,0.707834170987967
0,1038.938033757327,0.14583333333333331,45,5.29,0.2773067884472628
0,1038.938033757327,0.16666666666666666,45,5.29,0.10861253612989874
0,1038.938033757327,0.1875,45,5.29,0.042535985679305055
0,1038.938033757327,0.20833333333333331,45,5.29,0.01665774625200242
0,1038.938033757327,0.22916666666666666,45,5.29,0.006523330792861045
0,1038.938033757327,0.25,45,5.29,0.0025545828017002692
0,1038.938033757327,0.2708333333333333,45,5.29,0.0010003904954864254
0,1038.938033757327,0.29166666666666663,45,5.29,3.9175877640708096e-4
0,1038.938033757327,0.3125,45,5.29,1.5341497633611703e-4
0,1038.938033757327,0.3333333333333333,45,5.29,6.007817334705442e-5
0,1038.938033757327,0.35416666666666663,45,5.29,2.352695155088012e-5
0,1038.938033757327,0.375,45,5.29,9.213286732810443e-6
